Membership No  Date Joined  Active  
    95350      2019-12-24   no    
    13218      2015-6-10    no    
    16479      2016-8-21    no    
    85350      2015-4-24    no    
    68453      2015-9-10    no    
    33171      2020-2-16    no    
    54158      2015-9-13    no    
    35843      2016-9-8     no    
    29915      2019-11-23   no    
    72198      2015-4-13    no    
    65920      2020-10-3    no    
    76534      2016-6-3     no    
    86481      2016-5-3     no    
    38245      2020-11-8    no    
    85339      2019-2-5     no    
